,link,price,field_carat_weight,field_brand,field_metal,field_ring_size,field_marketplace,field_shape,field_ring_center_stone_weight,field_clarity,field_cut,field_certification,field_lab_grown_diamond,field_ring_karat,field_color,field_certificate_number,field_ring_side_stone_weight,field_clarity_side_stone,field_clarity_enhanced,field_gender,field_vip_listing,field_diamonds_weight,field_wedding_bands_style,field_kind,field_stone,field_carat_weight_open,field_jewelry_bracelets_style,field_type_jewelry,field_material,field_jewelry_style
19,https://www.idonowidont.com/diamonds/219-carat-round-j-vs1-excellent-cut-14k-yellow-gold-petite-solitaire-diamond-engagement,"$5,500.00",Carat:2.01 - 3.00 ct,,Metal Type:Yellow Gold,Ring size:5.50,Marketplace: Pre-OwnedEngagement Rings,Shape:Round,Center stone weight:2.19ct,Center stone clarity:VS1,Cut:Excellent,Certification:IGI,Lab-Grown Diamond:Lab-Grown Diamond,Karat:14k,Center Stone Color:J,Certificate #:LG445036464,,,,,,,,,,,,,,
20,https://www.idonowidont.com/diamonds/engagement-ring-730954,"$1,200.00",Carat:0.0 - 1.0 ct,Brand:Tiffany & Co.,Metal Type:Silver,Ring size:7.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Asscher,Center stone weight:0.90ct,Center stone clarity:SI2,Cut:Excellent,Certification:None,,,Center Stone Color:D,,,Side stone clarity:SI2,Clarity Enhanced:Clarity Enhanced,,,,,,,,,,,
21,https://www.idonowidont.com/diamonds/zales-2-ctw-bridal-set-730953,"$3,500.00",Carat:1.01 - 2.00 ct,Brand:Zales,Metal Type:White Gold,Ring size:4.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Princess,Center stone weight:1.00ct,Center stone clarity:I2,,,,Karat:14k,Center Stone Color:I,,,,,,,,,,,,,,,
22,https://www.idonowidont.com/diamonds/270-ct-white-gold-diamond-ring-730952,"$3,600.00",Carat:2.01 - 3.00 ct,,Metal Type:White Gold,Ring size:7.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Princess,Center stone weight:0.52ct,Center stone clarity:SI2,Cut:Good,,,,Center Stone Color:H,,Side stone weights (if applicable):1.02ct,Side stone clarity:SI2,,,,,,,,,,,,
23,https://www.idonowidont.com/diamonds/tacori-18kt-123-color-f-vs1-730947,"$7,000.00",Carat:1.01 - 2.00 ct,Brand:Tacori,Metal Type:White Gold,Ring size:5.50,Marketplace: Pre-OwnedEngagement Rings,Shape:Princess,Center stone weight:1.23ct,Center stone clarity:VS1,Cut:Excellent,Certification:GIA,,Karat:18k,Center Stone Color:F,Certificate #:15636202,Side stone weights (if applicable):0.43ct,Side stone clarity:VS2,,,,,,,,,,,,
24,https://www.idonowidont.com/diamonds/cushion-cut-engagement-ring-730946,"$3,000.00",Carat:1.01 - 2.00 ct,,Metal Type:White Gold,Ring size:5.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Cushion,Center stone weight:0.70ct,Center stone clarity:I1,Cut:Excellent,Certification:OTHER,,Karat:14k,Center Stone Color:I,Certificate #:40825600207,,Side stone clarity:I1,,,,,,,,,,,,
25,https://www.idonowidont.com/diamonds/diamond-solitaire-engagement-ring-730945,"$30,000.00",Carat:2.01 - 3.00 ct,,Metal Type:Platinum,Ring size:7.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Round,Center stone weight:2.01ct,Center stone clarity:VS1,Cut:Excellent,Certification:AGSL,,,Center Stone Color:H,Certificate #:104075328009,,,,,,,,,,,,,,
26,https://www.idonowidont.com/diamonds/35ct-wedding-ring-set-s925-sterling-silver-730943,$500.00,Carat:3.01 - 4.00 ct,,Metal Type:Silver,Ring size:7.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Oval,Center stone weight:1.00ct,,,,Lab-Grown Diamond:Lab-Grown Diamond,,,,,,,,,,,,,,,,,
27,https://www.idonowidont.com/diamonds/engagement-wedding-set-pink-sapphire-730942,"$1,300.00",Carat:4.00 ct or more,,Metal Type:White Gold,Ring size:5.50,Marketplace: Pre-OwnedEngagement Rings,Shape:Oval,Center stone weight:10.00ct,,,,,Karat:14k,,,,,,,,,,,,,,,,
28,https://www.idonowidont.com/diamonds/wedding-set-730941,$900.00,Carat:0.0 - 1.0 ct,,Metal Type:White Gold,Ring size:7.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Princess,Center stone weight:0.50ct,,Cut:Excellent,Certification:None,,Karat:14k,,,Side stone weights (if applicable):0.50ct,,Clarity Enhanced:Clarity Enhanced,,,,,,,,,,,
29,https://www.idonowidont.com/diamonds/antique-original-wedding-set-730940,"$3,900.00",Carat:1.01 - 2.00 ct,,Metal Type:White Gold,Ring size:5.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Cushion,Center stone weight:0.48ct,Center stone clarity:SI1,,,,Karat:14k,,,Side stone weights (if applicable):0.60ct,Side stone clarity:SI1,,,,,,,,,,,,
30,https://www.idonowidont.com/diamonds/celebration-diamond-collection-730939,"$3,000.00",Carat:1.01 - 2.00 ct,Brand:Cartier,,Ring size:1.29,Marketplace: Pre-OwnedEngagement Rings,Shape:Round,Center stone weight:0.74ct,Center stone clarity:SI2,Cut:Very Good,,,,Center Stone Color:I,Certificate #:Cel605242,Side stone weights (if applicable):0.55ct,Side stone clarity:SI1,,,,,,,,,,,,
31,https://www.idonowidont.com/diamonds/beautiful-2-piece-wedding-set-730938,"$4,000.00",Carat:2.01 - 3.00 ct,,,Ring size:5.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Princess,Center stone weight:1.00ct,,,,,,,,,,,,,,,,,,,,,
32,https://www.idonowidont.com/diamonds/halo-split-shank-round-cushion-setting-730937,"$4,700.00",Carat:2.01 - 3.00 ct,,Metal Type:White Gold,Ring size:5.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Round,Center stone weight:0.88ct,Center stone clarity:VS1,Cut:Very Good,Certification:EGL,,Karat:18k,Center Stone Color:D,Certificate #:US 90056740D,,,,,,,,,,,,,,
33,https://www.idonowidont.com/diamonds/brilliant-earth-275-carat-oval-ideal-cut-e-color-vs2%C2%A0clarity-diamond-engagement-ring-730936,"$8,199.98",Carat:2.01 - 3.00 ct,Brand:Brilliant Earth,Metal Type:White Gold,Ring size:7.25,Marketplace: Pre-OwnedEngagement Rings,Shape:Oval,Center stone weight:2.75ct,Center stone clarity:VS2,Cut:Excellent,Certification:IGI,Lab-Grown Diamond:Lab-Grown Diamond,Karat:18k,Center Stone Color:E,Certificate #:LG470121277,Side stone weights (if applicable):1.40ct,Side stone clarity:VS2,,,,,,,,,,,,
34,https://www.idonowidont.com/diamonds/de-beers-aura-solitaire-engagement-ring-730935,"$3,500.00",Carat:0.0 - 1.0 ct,Brand:De Beers,Metal Type:Platinum,Ring size:53.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Round,Center stone weight:0.73ct,Center stone clarity:SI1,Cut:Excellent,Certification:OTHER,,,Center Stone Color:G,Certificate #:D40C3106,Side stone weights (if applicable):0.49ct,,,,,,,,,,,,,
35,https://www.idonowidont.com/diamonds/55ct-yellow-sapphire-and-67ct-diamond-14k-yellow-gold-ring-730933,"$7,000.00",Carat:4.00 ct or more,,Metal Type:Yellow Gold,Ring size:7.50,Marketplace: Pre-OwnedEngagement Rings,Shape:Cushion,Center stone weight:5.51ct,Center stone clarity:VS2,,Certification:OTHER,,Karat:14k,Center Stone Color:Other,Certificate #:JB4505,Side stone weights (if applicable):0.67ct,Side stone clarity:SI1,,,,,,,,,,,,
36,https://www.idonowidont.com/diamonds/diamond-wedding-ring-730888,"$10,000.00",Carat:1.01 - 2.00 ct,,,,Marketplace: Pre-OwnedEngagement Rings,Shape:Round,Center stone weight:1.00ct,Center stone clarity:VVS1,Cut:Excellent,,,,,,Side stone weights (if applicable):0.62ct,Side stone clarity:VVS1,,,,,,,,,,,,
37,https://www.idonowidont.com/diamonds/14-karat-white-gold-engagement-ring-setting-coast-730930,"$2,500.00",Carat:1.01 - 2.00 ct,,Metal Type:White Gold,Ring size:6.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Round,Center stone weight:1.00ct,,,,,Karat:14k,,,Side stone weights (if applicable):0.88ct,,,,,,,,,,,,,
38,https://www.idonowidont.com/diamonds/multi-halo-engagement-ring-wedding-band-16-tw-730928,"$2,900.00",Carat:1.01 - 2.00 ct,Brand:Kay Jewelers,Metal Type:White Gold,Ring size:8.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Round,Center stone weight:0.78ct,Center stone clarity:I1,Cut:Excellent,Certification:None,,Karat:14k,Center Stone Color:H,,Side stone weights (if applicable):0.42ct,Side stone clarity:SI2,,,,,,,,,,,,
39,https://www.idonowidont.com/diamonds/neil-lane-diamond-engagement-ring-730926,"$10,000.00",Carat:1.01 - 2.00 ct,Brand:Kay Jewelers,Metal Type:White Gold,Ring size:7.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Round,Center stone weight:0.70ct,Center stone clarity:SI1,Cut:Good,Certification:OTHER,,Karat:14k,Center Stone Color:I,Certificate #:28455601303,Side stone weights (if applicable):0.50ct,,,,,,,,,,,,,
40,https://www.idonowidont.com/diamonds/verragio-round-cut-diamonds-730920,"$7,000.00",Carat:1.01 - 2.00 ct,Brand:Verragio,Metal Type:Two Tone,,Marketplace: Pre-OwnedEngagement Rings,Shape:Round,Center stone weight:1.00ct,Center stone clarity:SI1,Cut:Very Good,Certification:GIA,,,Center Stone Color:H,Certificate #:1532,,,,,,,,,,,,,,
41,https://www.idonowidont.com/diamonds/ladies-14-karat-white-gold-diamond-engagement-ring-2-white-gold-matching-bands-730915,"$1,200.00",,,Metal Type:White Gold,Ring size:5.75,Marketplace: Pre-OwnedEngagement Rings,,Center stone weight:0.80ct,Center stone clarity:SI1,,,,Karat:14k,,,,,,,,,,,,,,,,
42,https://www.idonowidont.com/diamonds/princess-cut-diamond-engagement-ring-set-platinum-730890,"$6,000.00",Carat:1.01 - 2.00 ct,,Metal Type:Platinum,Ring size:6.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Princess,Center stone weight:1.11ct,Center stone clarity:VS2,,,,,,,,,,,,,,,,,,,,
43,https://www.idonowidont.com/diamonds/princess-cut-solitaire-730924,"$4,200.00",Carat:0.0 - 1.0 ct,,Metal Type:Yellow Gold,Ring size:5.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Princess,Center stone weight:0.77ct,Center stone clarity:VS1,,Certification:OTHER,,Karat:14k,Center Stone Color:F,Certificate #:6000,,,,,,,,,,,,,,
44,https://www.idonowidont.com/diamonds/green-diamond-ring-730923,"$25,000.00",Carat:1.01 - 2.00 ct,,Metal Type:Platinum,,Marketplace: Pre-OwnedEngagement Rings,Shape:Round,Center stone weight:1.43ct,Center stone clarity:SI2,,Certification:GIA,,,Center Stone Color:G,Certificate #:15814315,,,Clarity Enhanced:Clarity Enhanced,,,,,,,,,,,
45,https://www.idonowidont.com/diamonds/dazzling-220-ct-princess-cut-ring-band-584711,"$3,000.00",Carat:2.01 - 3.00 ct,,Metal Type:White Gold,Ring size:5.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Princess,Center stone weight:1.00ct,,,,,Karat:14k,,,,,,,,,,,,,,,,
46,https://www.idonowidont.com/diamonds/rare-and-different-marquise-diamond-ring-215-carat-deal-wont-last-730917,"$6,300.00",Carat:2.01 - 3.00 ct,,Metal Type:White Gold,,Marketplace: Pre-OwnedEngagement Rings,Shape:Marquise,Center stone weight:1.72ct,Center stone clarity:SI2,Cut:Excellent,Certification:AGI,,Karat:14k,Center Stone Color:G,,Side stone weights (if applicable):0.43ct,Side stone clarity:SI1,,,,,,,,,,,,
47,https://www.idonowidont.com/diamonds/engagement-ring-and-custom-band-730912,$800.00,Carat:0.0 - 1.0 ct,,Metal Type:White Gold,Ring size:4.50,Marketplace: Pre-OwnedEngagement Rings,Shape:Oval,Center stone weight:0.20ct,,,,,,,,Side stone weights (if applicable):0.30ct,,,,,,,,,,,,,
48,https://www.idonowidont.com/diamonds/elongated-cushion-cut-engagement-ring-730913,"$9,500.00",Carat:1.01 - 2.00 ct,,Metal Type:White Gold,Ring size:5.50,Marketplace: Pre-OwnedEngagement Rings,Shape:Cushion,Center stone weight:1.70ct,Center stone clarity:SI2,Cut:Very Good,,,Karat:18k,Center Stone Color:F,,Side stone weights (if applicable):0.70ct,Side stone clarity:SI1,,,,,,,,,,,,
49,https://www.idonowidont.com/diamonds/sheffield-peach-moissanite-engagement-ring-size-6-730909,"$1,900.00",Carat:1.01 - 2.00 ct,,Metal Type:Rose Gold,Ring size:6.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Round,Center stone weight:1.25ct,,,,,Karat:14k,Center Stone Color:Other,,,,,,,,,,,,,,,
50,https://www.idonowidont.com/diamonds/leo-diamond-three-stone-engagement-ring-730908,"$4,799.00",Carat:1.01 - 2.00 ct,Brand:Kay Jewelers,Metal Type:White Gold,Ring size:7.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Princess,Center stone weight:0.69ct,Center stone clarity:SI1,Cut:Excellent,Certification:OTHER,,Karat:14k,Center Stone Color:I,Certificate #:UJOROMVLFR,Side stone weights (if applicable):0.51ct,Side stone clarity:SI1,,,,,,,,,,,,
51,https://www.idonowidont.com/diamonds/princess-cut-diamond-engagement-ring-set-platinum-730891,"$6,000.00",Carat:1.01 - 2.00 ct,,Metal Type:Platinum,Ring size:6.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Princess,Center stone weight:1.11ct,Center stone clarity:VS2,,,,,,,,,,,,,,,,,,,,
52,https://www.idonowidont.com/diamonds/robbins-brothers-divine-wedding-set-730904,"$6,500.00",Carat:2.01 - 3.00 ct,Brand:Robbins Brothers,Metal Type:White Gold,Ring size:7.50,Marketplace: Pre-OwnedEngagement Rings,Shape:Princess,Center stone weight:1.04ct,Center stone clarity:VS1,Cut:Very Good,Certification:IGI,Lab-Grown Diamond:Lab-Grown Diamond,Karat:18k,Center Stone Color:J,Certificate #:LG11654916,Side stone weights (if applicable):0.68ct,,,,,,,,,,,,,
53,https://www.idonowidont.com/diamonds/118-ct-round-ideal-colorless-diamond-ags-certified-diamond-lined-platinum-band-560871,"$7,000.00",Carat:1.01 - 2.00 ct,,Metal Type:Platinum,Ring size:4.50,Marketplace: Pre-OwnedEngagement Rings,Shape:Round,Center stone weight:1.19ct,Center stone clarity:SI1,Cut:Excellent,Certification:OTHER,,,Center Stone Color:E,Certificate #:AGS 01040395030005,Side stone weights (if applicable):1.06ct,Side stone clarity:SI1,,,,,,,,,,,,
54,https://www.idonowidont.com/diamonds/robbins-brothers-engagement-ring-730902,"$5,000.00",Carat:1.01 - 2.00 ct,Brand:Robbins Brothers,Metal Type:White Gold,Ring size:7.50,Marketplace: Pre-OwnedEngagement Rings,Shape:Princess,Center stone weight:1.04ct,Center stone clarity:VS1,Cut:Very Good,Certification:IGI,Lab-Grown Diamond:Lab-Grown Diamond,Karat:18k,Center Stone Color:J,Certificate #:LG11654916,Side stone weights (if applicable):0.68ct,,,,,,,,,,,,,
55,https://www.idonowidont.com/diamonds/7mm-heart-shaped-peachy-pink-morganite-solitaire-lily-petal-prong-setting-14k-rose-gold,$500.00,Carat:0.0 - 1.0 ct,,Metal Type:Rose Gold,Ring size:4.75,Marketplace: Pre-OwnedEngagement Rings,Shape:Heart,Center stone weight:1.00ct,,,,,Karat:14k,Center Stone Color:Other,,,,,,,,,,,,,,,
56,https://www.idonowidont.com/diamonds/princess-cut-engagement-ring-730900,"$4,500.00",Carat:0.0 - 1.0 ct,,Metal Type:White Gold,Ring size:7.50,Marketplace: Pre-OwnedEngagement Rings,Shape:Princess,Center stone weight:0.70ct,Center stone clarity:VS1,Cut:Good,Certification:GIA,,Karat:14k,Center Stone Color:G,Certificate #:10806923,Side stone weights (if applicable):0.75ct,Side stone clarity:VS2,,,,,,,,,,,,
57,https://www.idonowidont.com/diamonds/leo-diamond-730898,"$3,200.00",Carat:0.0 - 1.0 ct,Brand:Kay Jewelers,Metal Type:White Gold,Ring size:5.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Princess,Center stone weight:0.46ct,Center stone clarity:SI2,Cut:Very Good,Certification:OTHER,,Karat:14k,Center Stone Color:G,Certificate #:62354900103,,Side stone clarity:SI2,,,,,,,,,,,,
58,https://www.idonowidont.com/diamonds/engagement-and-wedding-ring-set-730897,"$3,300.00",Carat:0.0 - 1.0 ct,,,Ring size:6.75,Marketplace: Pre-OwnedEngagement Rings,Shape:Round,Center stone weight:1.00ct,Center stone clarity:I1,,,,,,,,,,,,,,,,,,,,
59,https://www.idonowidont.com/diamonds/moissanite-princess-cut-engagement-ring-22ct-wedding-band-set-730894,$900.00,Carat:2.01 - 3.00 ct,,Metal Type:Palladium,Ring size:7.50,Marketplace: Pre-OwnedEngagement Rings,Shape:Princess,Center stone weight:2.20ct,,,Certification:None,Lab-Grown Diamond:Lab-Grown Diamond,,Center Stone Color:Other,,,,,,,,,,,,,,,
60,https://www.idonowidont.com/diamonds/033-ct-diamond-solitaire-wedding-set-730896,"$1,500.00",Carat:0.0 - 1.0 ct,,Metal Type:Two Tone,Ring size:5.50,Marketplace: Pre-OwnedEngagement Rings,Shape:Round,Center stone weight:0.33ct,,,,,Karat:14k,Center Stone Color:D,,,,,,,,,,,,,,,
61,https://www.idonowidont.com/diamonds/emerald-cut-engagement-ring-and-channel-set-diamond-wedding-band-730889,"$7,000.00",Carat:0.0 - 1.0 ct,,Metal Type:Yellow Gold,Ring size:7.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Emerald,Center stone weight:1.00ct,Center stone clarity:SI1,Cut:Very Good,,,Karat:14k,Center Stone Color:H,,Side stone weights (if applicable):0.64ct,Side stone clarity:VS2,,,,,,,,,,,,
62,https://www.idonowidont.com/diamonds/frances-klein-beverly-hills-1920%E2%80%99s-art-deco-diamond-sapphire-platinum-ring-730883,"$16,000.00",Carat:1.01 - 2.00 ct,,Metal Type:Platinum,Ring size:6.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Round,Center stone weight:1.51ct,Center stone clarity:VS2,Cut:Excellent,Certification:GIA,,,Center Stone Color:G,,,Side stone clarity:VS2,,,,,,,,,,,,
63,https://www.idonowidont.com/diamonds/princess-cut-1-carat-730882,"$4,500.00",Carat:0.0 - 1.0 ct,Brand:Diamonds Direct,Metal Type:White Gold,Ring size:9.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Princess,Center stone weight:1.00ct,Center stone clarity:SI2,,Certification:GIA,,,Center Stone Color:J,Certificate #:1348654378,,,,,,,,,,,,,,
64,https://www.idonowidont.com/diamonds/112-karat-oval-rose-gold-engagement-ring-matching-wedding-band-730881,"$6,750.00",Carat:1.01 - 2.00 ct,,Metal Type:Rose Gold,Ring size:6.75,Marketplace: Pre-OwnedEngagement Rings,Shape:Oval,Center stone weight:1.12ct,Center stone clarity:I1,Cut:Excellent,Certification:OTHER,,Karat:14k,Center Stone Color:F,,Side stone weights (if applicable):0.22ct,,,,,,,,,,,,,
65,https://www.idonowidont.com/diamonds/complete-wedding-set-151-e-color-princess-cut-wgia-laser-inscription-engagement-ring,"$9,990.00",Carat:1.01 - 2.00 ct,,Metal Type:White Gold,Ring size:6.50,Marketplace: Pre-OwnedEngagement Rings,Shape:Princess,Center stone weight:1.51ct,Center stone clarity:SI1,,Certification:GIA,,Karat:14k,Center Stone Color:E,Certificate #:2125110852,Side stone weights (if applicable):0.20ct,,,,,,,,,,,,,
66,https://www.idonowidont.com/diamonds/simon-g-round-brilliant-diamond-ring-730876,"$3,000.00",Carat:0.0 - 1.0 ct,Brand:Diamonds Direct,Metal Type:White Gold,Ring size:7.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Round,Center stone weight:0.61ct,Center stone clarity:I1,Cut:Excellent,Certification:OTHER,,,Center Stone Color:D,Certificate #:7312912712,,,,,,,,,,,,,,
